id,name,lat,long,type,adj_type
44538,Restaurant La Rabassa,42.447761,1.508746,gastronomy,gastronomy
137265,Restaurant Delicies Turques,42.508217,1.538245,gastronomy,gastronomy
11428,Restaurant Hotel Erts,42.561651,1.497772,gastronomy,gastronomy
10782,Bar Restaurant Roses,42.468039,1.493789,gastronomy,gastronomy
11048,Restaurant Blau Envalira,42.54207,1.73172,gastronomy,gastronomy
137267,Mama DolÍ_a,42.512219,1.539166,gastronomy,gastronomy
10784,Bar Jocs Esportius Sant JuliÍ_,42.469616,1.493132,gastronomy,gastronomy
44539,Bar Amnesia,42.510135,1.532432,gastronomy,gastronomy
137268,Cafeteria La Ratatouille,42.510915,1.538861,gastronomy,gastronomy
137269,Bar Restaurant Santa Anna,42.509164,1.541588,gastronomy,gastronomy
11050,Restaurant CantÍ_bric a Taula,42.465402,1.491233,gastronomy,gastronomy
11430,Restaurant Hotel Folch,42.467562,1.493623,gastronomy,gastronomy
44540,Restaurant Hotel Mila,42.533531,1.61051,gastronomy,gastronomy
137272,Snack-Bar Ancora,42.509976,1.54224,gastronomy,gastronomy
10786,Bar Salamanca,42.510126,1.541825,gastronomy,gastronomy
11432,Restaurant Hotel Galanthus,42.582498,1.663721,gastronomy,gastronomy
11052,Restaurant Casa del Bistec,42.50856,1.535983,gastronomy,gastronomy
44541,Bar L'Alternativa,42.50815,1.521841,gastronomy,gastronomy
10788,Bar Sant RomÍ_,42.567038,1.489768,gastronomy,gastronomy
137274,Restaurant Koy Hermitage,42.575556,1.671111,gastronomy,gastronomy
44542,Restaurant Andburger Zero,42.536265,1.583022,gastronomy,gastronomy
137287,Restaurant La Tofana,42.575556,1.671111,gastronomy,gastronomy
10790,Bar Segle XXI,42.532836,1.576763,gastronomy,gastronomy
44544,Restaurant la Coma & Self-service,42.631596,1.48696,gastronomy,gastronomy
11436,Restaurant Hotel CÍÎntric,42.508339,1.531348,gastronomy,gastronomy
137292,Restaurant Hotel Xalet Montana,42.576948,1.666083,gastronomy,gastronomy
137297,Restaurant Can Fontbernat,42.534384,1.58285,gastronomy,gastronomy
11056,Restaurant Cesar II,42.509161,1.54182,gastronomy,gastronomy
44545,Restaurant El RacÍ_ del Prat de les Mines,42.601631,1.534695,gastronomy,gastronomy
10792,Bar Serra do Geres,42.50894,1.543134,gastronomy,gastronomy
137298,Bar Restaurant Funicamp,42.535615,1.587349,gastronomy,gastronomy
11438,Restaurant Hotel Cosmos,42.510118,1.53821,gastronomy,gastronomy
44547,Cafeteria D Delicios,42.507661,1.531674,gastronomy,gastronomy
10794,Bar Restaurant Sevilla,42.509322,1.542297,gastronomy,gastronomy
11058,Restaurant Chez Paulo,42.542951,1.735008,gastronomy,gastronomy
137301,Underground Bar,42.541503,1.731763,gastronomy,gastronomy
11440,Restaurant Hotel Kandahar,42.542046,1.731709,gastronomy,gastronomy
137309,Restaurant Bistrot,42.531902,1.573605,gastronomy,gastronomy
44554,Restaurant Andburger Zero,42.532118,1.695904,gastronomy,gastronomy
137310,Bar Xurrasqueria MonÍ_anense,42.533863,1.580241,gastronomy,gastronomy
11060,Restaurant Cuina ManxÍ_ria Imperial,42.508307,1.540744,gastronomy,gastronomy
137311,Bar Cal l'EntrepÍ_,42.535931,1.492492,gastronomy,gastronomy
11442,Restaurant Hotel Les Truites,42.542971,1.734987,gastronomy,gastronomy
44555,Restaurant Hotel Mirtil,42.541813,1.732986,gastronomy,gastronomy
10802,Bar Restaurant Tarragona,42.505064,1.52593,gastronomy,gastronomy
137400,Restaurant Pastisseria l'Espiga d'Or,42.506773,1.530297,gastronomy,gastronomy
44556,Restaurant l'Husky,42.540862,1.731893,gastronomy,gastronomy
11446,Restaurant Hotel Montecarlo,42.532212,1.573877,gastronomy,gastronomy
10804,Bar Restaurant Terra Alta,42.506449,1.529406,gastronomy,gastronomy
137516,Snack-Bar Harlem,42.506732,1.520757,gastronomy,gastronomy
11064,Restaurant Delicius,42.507756,1.534138,gastronomy,gastronomy
44557,Underground Sports Bar and Grill,42.541683,1.732036,gastronomy,gastronomy
11448,Restaurant Hotel Naudi,42.577086,1.665963,gastronomy,gastronomy
137526,Restaurant Cal Sinquede,42.508327,1.521739,gastronomy,gastronomy
10806,Bar TertÍ_lia,42.507696,1.53428,gastronomy,gastronomy
44558,Restaurant La Gratinada,42.540883,1.733738,gastronomy,gastronomy
11066,Restaurant Cubil,42.531777,1.698922,gastronomy,gastronomy
138018,Restaurant La Vita ÍÎ Vegan,42.510399,1.541987,gastronomy,gastronomy
10808,Bar Tinc 7,42.566455,1.598961,gastronomy,gastronomy
44560,Bar Winsord (Hotel Mercure),42.507775,1.527516,gastronomy,gastronomy
11068,Restaurant El Gran CafÍ©,42.505699,1.520045,gastronomy,gastronomy
11452,Restaurant Hotel Oros,42.536339,1.582332,gastronomy,gastronomy
138621,Hardbreak,42.507245,1.526054,gastronomy,gastronomy
44562,Restaurant La Borda,42.540705,1.733794,gastronomy,gastronomy
11454,Restaurant Emo - Hotel PalomÍ©,42.565187,1.490855,gastronomy,gastronomy
11070,Restaurant El Mussol,42.510464,1.541187,gastronomy,gastronomy
