id,name,lat,long,type
10758,Cafeteria Panor’_mix,42.569644,1.477747,gastronomy
11010,Bar Jijonenca,42.508291,1.521628,gastronomy
11404,Restaurant Font Blanca,42.576877,1.517158,gastronomy
10760,Bar Hotel Parador de Can’_lich,42.474671,1.451595,gastronomy
11012,Granja La Gormanderia II,42.508533,1.538716,gastronomy
11406,Restaurant Fontanella,42.576731,1.667105,gastronomy
42530,Bar M’_n de Fantasia,42.532722,1.575687,gastronomy
11014,Granja pastisseria Les Caldes,42.509881,1.540693,gastronomy
10762,Bar Pasta Express de Neu,42.540892,1.733721,gastronomy
11408,Restaurant Gasp’_,42.550891,1.526034,gastronomy
42987,Bar Coto Restaurant,42.467292,1.49217,gastronomy
11020,Granja OP Pastisseria,42.546101,1.514139,gastronomy
137169,Bar Restaurant Cisco de Sans,42.507063,1.520414,gastronomy
43315,Bar Cerveseria Can’_lich,42.463301,1.488245,gastronomy
11410,Restaurant Gastron’_mic,42.536523,1.49163,gastronomy
10764,Restaurant Polar Base,42.574801,1.481846,gastronomy
137170,Cantina de la Adelita,42.507417,1.520829,gastronomy
43328,River Caf’å,42.454597,1.486916,gastronomy
137172,Bodega Albert,42.508804,1.521323,gastronomy
11022,Cafeteria Orxateria Valenciana,42.499978,1.508217,gastronomy
11412,Restaurant Andburger Zero,42.508173,1.522186,gastronomy
10768,Snack-Bar Quim,42.556818,1.533344,gastronomy
137187,Restaurant l'Isard,42.507961,1.525173,gastronomy
43441,Bar Taran’_,42.508748,1.53999,gastronomy
137192,Caf’å l'Isard,42.507961,1.525173,gastronomy
11026,Cafeteria Pa amb Xocolata,42.464135,1.490718,gastronomy
11414,Restaurant Hotel Bruxelles,42.576944,1.666526,gastronomy
43443,Bar Hotel Tudel,42.508941,1.539349,gastronomy
137193,Restaurant Hotel Cervol,42.503042,1.513337,gastronomy
137199,Restaurant Monxi el Pirata,42.496386,1.500394,gastronomy
11028,Pastisseria Casal,42.535888,1.582283,gastronomy
43458,Snack-Bar Restaurant Cuco,42.511804,1.540645,gastronomy
11416,Restaurant Hotel Confort,42.586836,1.615841,gastronomy
10772,Snack-Bar Rac’_ d'en Tobira,42.50546,1.519032,gastronomy
137207,Restaurant Pastisseria l'Spigata,42.506498,1.522884,gastronomy
43480,Cafeteria Forn de Llenya Vilarrubla,42.50867,1.541234,gastronomy
11030,Pastisseria La Camarguesa,42.540394,1.733705,gastronomy
137209,Bar Restaurant Tapes i Mes,42.505581,1.516102,gastronomy
10774,Snack-Bar Restaurant Domenech,42.506842,1.518806,gastronomy
11418,Restaurant Hotel del Bisset,42.5429,1.523355,gastronomy
11036,Pixel Caf’å,42.541963,1.731752,gastronomy
