motor,id
1,23824
1,18680
1,18503
1,23968
1,23790
1,23791
1,23613
1,23612
1,23434
1,23435
1,23257
1,23256
1,35521
1,35522
1,35698
1,30543
1,30544
1,30545
1,30546
1,30900
1,30901
1,30724
1,30721
1,30722
1,30723
1,30370
1,30367
1,30368
1,30369
1,29837
1,29836
1,30014
1,30015
1,30191
1,30192
1,30193
1,30190
1,36934
1,36935
1,36756
1,36757
1,36758
1,36579
1,36578
1,36401
1,37462
1,37464
1,37461
1,37287
1,37284
1,37285
1,37286
1,37110
1,37106
1,37107
1,37108
1,37109
1,37105
1,36933
1,36934
1,36929
1,36930
1,36931
1,36928
1,36756
1,36752
1,36755
1,36748
1,36749
1,36750
1,36751
1,36745
1,36746
1,36747
1,36575
1,36576
1,36577
1,36578
1,24853
1,24852
1,24675
1,24498
1,25032
1,25030
1,25031
1,24321
1,23968
1,23969
1,24144
1,24145
1,23792
1,23614
1,23615
1,23436
1,23437
1,23259
1,23082
1,23081
1,8917
1,8918
1,9444
1,9445
1,9443
1,9619
1,9620
1,8741
1,8742
1,9092
1,9093
1,9094
1,9268
1,9269
1,12639
1,12640
1,12465
1,12463
1,12464
1,12288
1,12289
1,12290
1,11938
1,11939
1,12113
1,12114
1,12115
1,5006
1,5008
1,5003
1,5004
1,5183
1,5184
1,5185
1,5181
1,4831
1,4826
1,4828
1,4829
1,5358
1,5359
1,5536
1,4300
1,4477
1,4478
1,4475
1,4476
1,4472
1,4654
1,4655
1,4650
1,4651
1,4652
1,4648
1,4649
1,12819
1,12820
1,12643
1,12644
1,12645
1,12469
1,12468
1,12292
1,12293
1,12294
1,12117
1,6427
1,6428
1,6604
1,6781
1,8036
1,8037
1,8034
1,8035
1,7857
1,7856
1,8031
1,8384
1,8385
1,8383
1,8736
1,8559
1,8560
1,8208
1,23464
1,23286
1,23287
1,23288
1,23110
1,23111
1,23109
1,22933
1,22934
1,22932
1,22757
1,22758
1,22755
1,22578
1,22579
1,22580
1,20120
1,19943
1,19942
1,19765
1,19229
1,19052
1,19053
1,18875
1,18876
1,18698
1,23659
1,23482
1,23305
1,23128
1,22951
1,22774
1,22597
1,21708
1,21709
1,21710
1,21711
1,21888
1,22242
1,22419
1,22420
1,22065
1,25968
1,25790
1,25791
1,27390
1,26677
1,26678
1,27212
1,27213
1,26856
1,26855
1,27033
1,27034
1,27035
1,26500
1,26323
1,26322
1,26145
1,24904
1,24727
1,24550
1,25081
1,25082
1,25613
1,25436
