motor,id
0,1973
0,1974
0,1795
0,1796
0,1797
0,1798
0,1794
0,1451
0,1447
0,1448
0,1449
0,1450
0,1446
0,1621
0,1622
0,1623
0,2324
0,2147
0,1970
0,1971
0,2677
0,2854
0,1794
0,2500
0,2501
0,28074
0,28073
0,31442
0,31265
0,31264
0,30553
0,30554
0,30908
0,30909
0,30731
0,30376
0,31086
0,31087
0,29843
0,29844
0,29666
0,30021
0,29489
0,29488
0,30199
0,30198
0,29310
0,29311
0,28249
0,28250
0,28426
0,28427
0,28779
0,28780
0,28781
0,28956
0,29133
0,28603
0,28604
0,28074
0,28251
0,28428
0,28429
0,28783
0,28784
0,28606
0,25064
0,25241
0,25242
0,24367
0,29153
0,29151
0,29152
0,28975
0,28976
0,28977
0,28975
0,28798
0,28976
0,28975
0,29153
0,29154
0,3786
0,4493
0,4494
0,4495
0,4490
0,4491
0,2721
0,2722
0,2723
0,2898
0,2900
0,2901
0,2897
0,3078
0,3079
0,3073
0,3074
0,3071
0,3072
0,5020
0,5196
0,5197
0,5374
0,4842
0,4843
0,4844
0,4666
0,4667
0,4665
0,3608
0,3609
0,3602
0,3255
0,3248
0,3247
0,4140
0,3963
0,4317
0,4318
0,4314
0,4315
0,4316
0,3431
0,3432
0,3425
0,2374
0,2373
0,2020
0,2726
0,2902
0,2903
0,2901
0,2197
0,2549
0,2550
0,3078
0,962
0,963
0,787
0,786
0,1315
0,1316
0,1843
0,1844
0,1139
0,1491
0,1492
0,1490
0,1667
0,610
0,258
0,257
0,81
0,82
0,433
0,434
0,31269
0,30561
0,30915
0,30738
0,30384
0,31092
0,30030
0,30207
0,30386
0,30032
0,30209
0,30563
0,30561
0,30562
0,30386
0,30384
0,30385
0,26309
0,26309
0,26310
0,26133
0,24720
0,24543
0,24544
0,24544
0,24367
0,20288
0,20112
0,20288
0,20289
0,16218
0,16041
0,15864
0,15686
0,15687
0,15509
0,15332
0,15331
0,15153
0,15154
0,14974
0,14975
0,14976
0,14619
0,14618
0,14796
0,14797
0,14440
0,14441
0,14263
0,14262
0,14084
0,14085
0,13907
0,17638
0,17637
0,17993
0,17994
0,17815
0,17816
0,18348
0,18171
0,17459
0,17460
0,17282
0,17104
0,17105
0,16927
0,16750
0,16573
0,16395
0,16396
0,13730
0,13553
0,13376
0,13199
0,13198
0,13020
0,13021
0,12843
0,12842
0,20112
0,20113
0,20114
0,25088
0,24909
0,24910
0,24732
0,24731
0,24553
0,24554
0,4922
0,4921
0,5099
0,5100
0,4568
0,4746
0,4745
0,19053
0,18877
0,18876
0,18699
0,18522
0,18523
0,18345
0,18346
0,18347
0,18171
0,18170
0,2885
0,3061
0,3062
0,3769
0,3592
0,3238
0,3415
0,16137
0,15960
0,15783
0,15784
0,15607
0,15429
0,15430
0,15073
0,15074
0,15252
0,15251
0,17549
0,17372
0,17373
0,17374
0,17200
0,17201
0,17196
0,17197
0,17198
0,17199
0,17195
0,17019
0,16842
0,16843
0,16666
0,16667
0,16490
0,16313
0,16314
0,23078
0,23079
0,26587
0,26586
0,26066
0,26062
0,26063
0,26064
0,26065
0,26058
0,26059
0,26060
0,25883
0,25884
